,Contact Infectivity,Duration,Infectious,Recovered,Recovering,Succumbing,Susceptible,Total Population
19.125,0.3,5,28.683519060100533,53.664200225630765,5.736703812020107,7.939474283913901,922.6522807142704,1000
19.25,0.3,5,28.95945437659313,54.383872030358084,5.791890875318626,8.00720231694016,921.6566735930505,1000
19.375,0.3,5,29.236951730051594,55.11045689127781,5.847390346010319,8.075122612285547,920.6525913786724,1000
19.5,0.3,5,29.515995873395635,55.84399371756619,5.903199174679127,8.143227225672824,919.6400104090401,1000
19.625,0.3,5,29.79657094530266,56.58452103147635,5.959314189060532,8.211508039383126,918.618908023223,1000
19.75,0.3,5,30.078660463947468,57.332076952923146,6.015732092789493,8.279956762380582,917.5892625831314,1000
19.875,0.3,5,30.362247320917277,58.086699183913304,6.072449464183455,8.348564930540302,916.5510534951715,1000
20.0,0.3,5,30.64731377531057,58.84842499282497,6.129462755062114,8.417323906982073,915.5042612318665,1000
20.125,0.3,5,30.93384144802843,59.61729119854161,6.186768289605686,8.486224882512074,914.448867353432,1000
20.25,0.3,5,31.221811316267104,60.393334154445036,6.244362263253421,8.555258876174868,913.3848545292898,1000
20.375,0.3,5,31.511203708220528,61.17658973227272,6.3022407416441055,8.624416735917851,912.3122065595087,1000
20.5,0.3,5,31.80199829800171,61.96709330584464,6.360399659600342,8.693689139370328,911.2309083961557,1000
20.625,0.3,5,32.094174100791726,62.76487973466541,6.418834820158345,8.763066594739263,910.1409461645447,1000
